"","datetime","city","country","shape"
"76050",2008-08-02,"riverside","us","light"
"76063",2008-08-02,"yulee","us","light"
"34361",2010-03-12,"destin","us","light"
"50236",2013-05-31,"appling","us","circle"
"55391",1983-06-18,"truckee","us","circle"
"83497",2011-09-17,"rockledge","us","cone"
"48028",1981-05-20,"humboldt","us","disk"
"63375",2002-07-15,"pewaukee","us","flash"
"41381",2011-04-16,"running springs","us","light"
"13127",2012-11-21,"apple valley","us","oval"
"70943",2004-07-09,"yosemite",NA,"oval"
"65148",2007-07-21,"melville","us","rectangle"
"59888",2000-06-06,"el cajon","us","sphere"
"22416",2005-12-24,"philadelphia","us","triangle"
"13415",2010-01-12,"springfield","us","changing"
"20083",2007-12-14,"santa barbara/goleta",NA,"sphere"
"54119",1972-06-15,"greensboro","us","disk"
"37988",2007-03-30,"east windsor (cranbury)",NA,"light"
"209",2008-10-10,"yuma","us","triangle"
"68958",2010-07-04,"london","us","circle"
"26654",2001-01-30,"chicago","us","sphere"
"6704",2003-10-03,"ootischenia&#44 castlegar (canada)",NA,"light"
"37196",2008-03-25,"orange","us","changing"
"77211",2013-08-25,"mount pleasant","us","fireball"
"86666",2013-09-28,"cumming","us","fireball"
"2203",2000-10-15,"london (uk/england)","gb","light"
"27174",2001-01-04,"bouse","us","light"
"32692",2004-02-05,"monmouth county",NA,"light"
"37050",2012-03-24,"billings","us","light"
"43109",2006-04-24,"loman","us","light"
"53204",2010-06-01,"massapequa","us","light"
"69840",2008-07-05,"carson city","us","light"
"8048",2007-10-09,"toledo","us","sphere"
"12246",2007-01-01,"dover","us","sphere"
"36078",2002-03-20,"st. albert and cassleman (btwn) (canada)",NA,"unknown"
"75016",2003-08-19,"council bluffs","us","unknown"
"18620",2009-01-20,"okeechobee","us",NA
"20714",2004-12-17,"east islip","us","light"
"51812",1992-06-11,"nowra (australia)","au","disk"
"18705",1990-12-10,"honolulu (hawaii kai)","us","flash"
"6393",2004-10-31,"orland hills","us","light"
"78090",2011-08-29,"elizabethton","us","unknown"
"4727",2005-10-24,"denver","us","changing"
"29726",2010-02-15,"clearwater","us","circle"
"45479",2005-04-09,"marshalltown","us","circle"
"81709",1985-09-12,"la veta","us","circle"
"10199",2010-11-14,"trenton","us","cross"
"5911",2010-10-29,"stratford","us","diamond"
"81199",1977-09-01,"middletown","us","disk"
"43770",2014-04-27,"bellingham","us","light"
"53584",2005-06-13,"church hill","us","light"
"53615",2008-06-13,"peshastin","us","light"
"81469",2004-09-01,"destin","us","light"
"37789",2006-03-29,"richmond","us","other"
"29125",2004-02-13,"chelmsford (uk/england)","gb","oval"
"29907",2008-02-16,"hamilton (canada)","ca","oval"
"32894",2007-02-06,"point reyes",NA,"oval"
"33114",2013-02-07,"rio hondo","us","oval"
"38001",2008-03-30,"mattituck","us","triangle"
"43592",1998-04-27,"deventer&#44 overijssel (netherlands)",NA,"triangle"
"13408",2010-01-12,"eugene","us","unknown"
"26881",2009-01-31,"starke","us","unknown"
"32088",2014-02-27,"butler","us","unknown"
"4072",2008-10-02,"westminster west/ putney border",NA,"disk"
"8049",2007-10-09,"waynesville","us","disk"
"413",2006-10-11,"milton","us","light"
"87145",2008-09-30,"houston","us","other"
"77465",2002-08-27,"venice","us","triangle"
"12957",2013-11-20,"montpelier","us","oval"
"12961",2013-11-20,"macomb","us","oval"
"12975",1980-11-21,"clarksburg","us","oval"
"23780",1996-12-31,"tucson","us","disk"
"66961",2013-07-27,"san antonio","us","changing"
"75021",2004-08-19,"baltimore","us","light"
"41837",1999-04-19,"milford","us","circle"
"26717",2009-01-30,"san diego","us","disk"
"60388",2007-06-08,"quito (ecuador)",NA,"disk"
"68779",2008-07-04,"palmdale","us","fireball"
"27401",2001-01-05,"chandler","us","light"
